DATE/TIME;SYMBOL;OPEN;HIGH;LOW;CLOSE;EVOL % CLOSE/HIGH
2022-01-05T00:00:00+00:00;BNBHEDGE/USD;7,13000000;7,14600000;7,02300000;7,03050000;-1,42
2022-01-04T00:00:00+00:00;BNBHEDGE/USD;7,03650000;7,18850000;6,97550000;7,13000000;1,31
2022-01-03T00:00:00+00:00;BNBHEDGE/USD;6,84000000;7,07350000;6,81550000;7,05450000;3,04
2022-01-02T00:00:00+00:00;BNBHEDGE/USD;6,88950000;7,00000000;6,80200000;6,84000000;-0,72
2022-01-01T00:00:00+00:00;BNBHEDGE/USD;7,11000000;7,12200000;6,88600000;6,88950000;-3,2
2021-12-31T00:00:00+00:00;BNBHEDGE/USD;6,83450000;7,14300000;6,68950000;7,11000000;3,87
2021-12-30T00:00:00+00:00;BNBHEDGE/USD;7,04500000;7,11700000;6,68950000;6,83450000;-3,08
2021-12-29T00:00:00+00:00;BNBHEDGE/USD;6,80100000;7,08400000;6,68950000;7,04500000;3,46
2021-12-28T00:00:00+00:00;BNBHEDGE/USD;6,49050000;6,86000000;6,49050000;6,80100000;4,57
2021-12-27T00:00:00+00:00;BNBHEDGE/USD;6,68950000;6,70400000;6,38950000;6,49050000;-3,07
2021-12-26T00:00:00+00:00;BNBHEDGE/USD;6,68250000;6,78450000;6,66000000;6,68950000;0,1
2021-12-25T00:00:00+00:00;BNBHEDGE/USD;6,75600000;6,76000000;6,64100000;6,68250000;-1,1
2021-12-24T00:00:00+00:00;BNBHEDGE/USD;6,67000000;6,88750000;6,60100000;6,75600000;1,27
2021-12-23T00:00:00+00:00;BNBHEDGE/USD;6,83500000;6,94650000;6,62650000;6,67000000;-2,47
2021-12-22T00:00:00+00:00;BNBHEDGE/USD;6,91300000;6,91700000;6,72500000;6,83500000;-1,14
2021-12-21T00:00:00+00:00;BNBHEDGE/USD;6,96900000;7,05050000;6,84500000;6,91300000;-0,81
2021-12-20T00:00:00+00:00;BNBHEDGE/USD;6,91750000;7,19300000;6,85000000;6,96900000;0,74
2021-12-19T00:00:00+00:00;BNBHEDGE/USD;6,86700000;6,94050000;6,73300000;6,91750000;0,73
2021-12-18T00:00:00+00:00;BNBHEDGE/USD;6,95200000;7,06450000;6,81650000;6,86700000;-1,24
2021-12-17T00:00:00+00:00;BNBHEDGE/USD;6,94650000;7,13700000;6,84500000;6,95200000;0,08
2021-12-16T00:00:00+00:00;BNBHEDGE/USD;6,79300000;6,96400000;6,73750000;6,94650000;2,21
2021-12-15T00:00:00+00:00;BNBHEDGE/USD;6,96250000;7,32600000;6,72250000;6,79300000;-2,5
2021-12-14T00:00:00+00:00;BNBHEDGE/USD;7,04050000;7,17300000;6,87400000;6,96250000;-1,12
2021-12-13T00:00:00+00:00;BNBHEDGE/USD;6,54400000;7,15450000;6,50400000;7,04050000;7,05
2021-12-12T00:00:00+00:00;BNBHEDGE/USD;6,61800000;6,76050000;6,47700000;6,54400000;-1,13
2021-12-11T00:00:00+00:00;BNBHEDGE/USD;6,70600000;6,82650000;6,52000000;6,61800000;-1,33
2021-12-10T00:00:00+00:00;BNBHEDGE/USD;6,51900000;6,71750000;6,25100000;6,70600000;2,79
2021-12-09T00:00:00+00:00;BNBHEDGE/USD;6,20100000;6,54400000;6,09000000;6,51900000;4,88
2021-12-08T00:00:00+00:00;BNBHEDGE/USD;6,48050000;6,60050000;6,19250000;6,20100000;-4,51
2021-12-07T00:00:00+00:00;BNBHEDGE/USD;6,46850000;6,54750000;6,41650000;6,48050000;0,19
2021-12-06T00:00:00+00:00;BNBHEDGE/USD;6,74500000;7,02300000;6,42050000;6,46850000;-4,27
2021-12-05T00:00:00+00:00;BNBHEDGE/USD;7,34000000;7,34950000;6,61850000;6,74500000;-8,82
2021-12-04T00:00:00+00:00;BNBHEDGE/USD;6,21800000;7,34000000;6,21800000;7,34000000;15,29
2021-12-03T00:00:00+00:00;BNBHEDGE/USD;6,20000000;6,37200000;6,16300000;6,21800000;0,29
2021-12-02T00:00:00+00:00;BNBHEDGE/USD;6,07750000;6,20850000;6,07750000;6,20000000;1,98
2021-12-01T00:00:00+00:00;BNBHEDGE/USD;6,22250000;6,24250000;5,93700000;6,07750000;-2,39
2021-11-30T00:00:00+00:00;BNBHEDGE/USD;6,21700000;6,24750000;6,09800000;6,22250000;0,09
2021-11-29T00:00:00+00:00;BNBHEDGE/USD;6,39150000;6,46700000;6,18350000;6,21700000;-2,81
2021-11-28T00:00:00+00:00;BNBHEDGE/USD;6,47000000;6,66400000;6,36600000;6,39150000;-1,23
2021-11-27T00:00:00+00:00;BNBHEDGE/USD;6,58500000;6,58500000;6,23900000;6,47000000;-1,78
2021-11-26T00:00:00+00:00;BNBHEDGE/USD;5,94900000;6,58500000;5,94900000;6,58500000;9,66
2021-11-25T00:00:00+00:00;BNBHEDGE/USD;6,66300000;6,66300000;5,94900000;5,94900000;-12,0
2021-11-24T00:00:00+00:00;BNBHEDGE/USD;6,60150000;6,66300000;6,56500000;6,66300000;0,92
2021-11-23T00:00:00+00:00;BNBHEDGE/USD;6,95250000;6,96800000;6,42300000;6,60150000;-5,32
2021-11-22T00:00:00+00:00;BNBHEDGE/USD;6,66950000;7,01400000;6,64450000;6,95250000;4,07
2021-11-21T00:00:00+00:00;BNBHEDGE/USD;6,48600000;6,71650000;6,47450000;6,66950000;2,75
2021-11-20T00:00:00+00:00;BNBHEDGE/USD;6,75100000;6,80050000;6,48150000;6,48600000;-4,09
2021-11-19T00:00:00+00:00;BNBHEDGE/USD;7,40900000;7,47200000;6,70300000;6,75100000;-9,75
2021-11-18T00:00:00+00:00;BNBHEDGE/USD;6,88300000;7,58350000;6,79300000;7,40900000;7,1
2021-11-17T00:00:00+00:00;BNBHEDGE/USD;6,79350000;7,13500000;6,74350000;6,88300000;1,3
2021-11-16T00:00:00+00:00;BNBHEDGE/USD;6,31800000;6,89650000;6,31500000;6,79350000;7,0
2021-11-15T00:00:00+00:00;BNBHEDGE/USD;6,18950000;6,34550000;6,09850000;6,31800000;2,03
2021-11-14T00:00:00+00:00;BNBHEDGE/USD;6,21350000;6,35600000;6,09900000;6,18950000;-0,39
2021-11-13T00:00:00+00:00;BNBHEDGE/USD;6,42200000;6,48000000;6,15650000;6,21350000;-3,36
2021-11-12T00:00:00+00:00;BNBHEDGE/USD;6,41800000;6,66000000;6,37350000;6,42200000;0,06
2021-11-11T00:00:00+00:00;BNBHEDGE/USD;6,61200000;6,71650000;6,37600000;6,41800000;-3,02
2021-11-10T00:00:00+00:00;BNBHEDGE/USD;6,36600000;6,85900000;6,11050000;6,61200000;3,72
2021-11-09T00:00:00+00:00;BNBHEDGE/USD;6,20750000;6,38650000;6,17550000;6,36600000;2,49
2021-11-08T00:00:00+00:00;BNBHEDGE/USD;6,24700000;6,37900000;6,18850000;6,20750000;-0,64
2021-11-07T00:00:00+00:00;BNBHEDGE/USD;6,37500000;6,43450000;6,04550000;6,24900000;-2,02
2021-11-06T00:00:00+00:00;BNBHEDGE/USD;6,68600000;6,80700000;6,37700000;6,37700000;-4,85
